s,l,taken,skipped,pnl,roi,pf,min_cash,max_conc
130000,440000,23081,783,78187930.79201035,7818.793079201035,2.929832748366979,1392.0177817279473,152
30000,500000,23355,509,78167257.19614188,7816.725719614189,3.180063220206311,0.0,152
60000,480000,23259,605,77939219.07346119,7793.921907346119,3.0985796323153685,3855.4294959516264,152
160000,420000,22925,939,77688462.30912717,7768.846230912716,2.8719121383356114,352.02307644695975,152
90000,460000,23174,690,77489926.34859392,7748.992634859393,3.0200767733165264,574.7382055688649,152
20000,500000,23384,480,77394267.86193143,7739.426786193142,3.2109395294680065,0.0,152
190000,400000,22832,1032,77321398.08482157,7732.139808482157,2.815017747799861,1557.1318787951022,152
120000,440000,23094,770,77196301.4117223,7719.630141172231,2.9478510251065337,1632.2750969412737,152
50000,480000,23308,556,77098279.72993506,7709.827972993506,3.1240884912840885,899.2259270665236,152
150000,420000,22972,892,76847031.38519256,7684.703138519257,2.8871759175522524,107.67176491790451,152
180000,400000,22885,979,76604412.99940689,7660.441299940689,2.832122020298434,1815.2062178349588,152
80000,460000,23199,665,76566607.27784878,7656.660727784877,3.0404538170509605,5676.509206234943,152
10000,500000,23402,462,76484248.18729366,7648.424818729366,3.2318005417650197,0.0,152
110000,440000,23129,735,76275225.7529511,7627.52257529511,2.965537934833293,807.6504175332375,152
140000,420000,23035,829,75992633.5839528,7599.263358395279,2.9003185170814025,543.1014332785271,152
40000,480000,23314,550,75981772.35406406,7598.177235406406,3.1473871702741296,987.3896904971916,152
70000,460000,23197,667,75571955.47959198,7557.195547959198,3.062746476957693,2054.837066793232,152
200000,380000,22833,1031,75449204.7978659,7544.9204797865905,2.7909473952264987,1120.0405318057165,152
170000,400000,22877,987,75444108.27267133,7544.410827267133,2.843268531285529,25.905454675201327,152
30000,480000,23367,497,75321777.72797027,7532.1777727970275,3.17549467972406,384.81581327388994,152
100000,440000,23143,721,75315379.3685751,7531.5379368575095,2.9872539365597035,407.9339864559006,152
130000,420000,23085,779,75292102.64459103,7529.210264459104,2.9195071722525614,4429.328119521961,152
60000,460000,23228,636,74735897.8289298,7473.589782892979,3.0897915727361323,855.7800055551343,152
160000,400000,22915,949,74665804.86529033,7466.580486529033,2.8561170306209847,410.33768352726474,152
90000,440000,23181,683,74539317.96577531,7453.931796577531,3.007841987369394,411.7426945492625,152
190000,380000,22837,1027,74469704.2039174,7446.97042039174,2.8042408612957597,151.20292810769752,152
20000,480000,23384,480,74409155.6023367,7440.915560233671,3.20165616520192,1264.2233633487485,152
120000,420000,23113,751,74284881.61367023,7428.488161367024,2.9345140630926387,886.8153507600073,152
50000,460000,23294,570,73947066.56333572,7394.706656333571,3.113032094251273,2477.022468599025,152
150000,400000,22973,891,73816181.78499384,7381.618178499384,2.874319307470235,586.0306441548746,152
180000,380000,22869,995,73571399.8036734,7357.13998036734,2.81689638851168,1076.0498251179233,152
80000,440000,23195,669,73483173.98188542,7348.317398188541,3.0268240916962705,699.322960517602,152
10000,480000,23413,451,73423326.0687476,7342.33260687476,3.2280857758377195,942.6951644313522,152
110000,420000,23124,740,73284887.58886881,7328.488758886881,2.954421388463051,7106.889897052199,152
140000,400000,23040,824,73125662.20395504,7312.566220395504,2.8879339746795205,602.9604812623002,152
40000,460000,23325,539,73014742.35548101,7301.474235548102,3.1393886015902934,2014.958268630784,152
70000,440000,23212,652,72654758.61852233,7265.475861852234,3.0568457944936744,294.58113940106705,152
170000,380000,22861,1003,72387599.27965647,7238.759927965647,2.8266839278672284,207.2246558868792,152
100000,420000,23154,710,72338423.84201874,7233.842384201874,2.975110717369285,103.11353911482729,152
200000,360000,22810,1054,72327240.11371616,7232.724011371616,2.7727849050071574,676.0473489218857,152
130000,400000,23055,809,72244180.54904266,7224.418054904265,2.9083812361695256,1278.2115197195671,152
30000,460000,23365,499,72103972.42523171,7210.397242523171,3.1688545360701537,1919.4695882588858,152
60000,440000,23235,629,71706076.64814985,7170.607664814985,3.0810496850784252,147.23445394518785,152
90000,420000,23189,675,71661894.55157629,7166.189455157628,3.0018598832027905,109.1051153660519,152
160000,380000,22893,971,71612136.77356511,7161.213677356511,2.846175661570523,1349.1834016242065,152
190000,360000,22828,1036,71483495.09289092,7148.349509289092,2.790087120496068,1362.3224831088446,152
20000,460000,23395,469,71329849.66122815,7132.984966122815,3.200886491040844,294.65483644476626,152
120000,400000,23073,791,71166674.2870643,7116.66742870643,2.9244460094477858,191.7721375648398,152
50000,440000,23290,574,70935722.35187079,7093.572235187079,3.106176914006827,199.80177860031836,152
150000,380000,22999,865,70931822.61453114,7093.182261453114,2.8579098677648846,451.25724778696895,152
80000,420000,23211,653,70762031.64120449,7076.2031641204485,3.025753798752922,3561.9202995987143,152
180000,360000,22841,1023,70506039.64012265,7050.603964012265,2.80232235431139,167.12999082612805,152
10000,460000,23424,440,70427535.1243309,7042.753512433089,3.22884863285008,3928.761544875335,152
140000,380000,23064,800,70296445.62843394,7029.644562843394,2.877995507713376,919.8415015698411,152
110000,400000,23118,746,70273164.23179916,7027.316423179916,2.942179735785844,275.638401390519,152
40000,440000,23332,532,69986607.28098129,6998.660728098129,3.132075946679826,3346.476244836813,152
70000,420000,23235,629,69799988.66468851,6979.998866468852,3.046841617007436,591.1939627071843,152
170000,360000,22879,985,69591546.84380278,6959.154684380277,2.816641555463681,1733.5656518116593,152
200000,340000,22822,1042,69473020.09977008,6947.302009977008,2.7572106416320796,630.3053998337127,152
100000,400000,23142,722,69257096.00197637,6925.709600197636,2.9605139859105805,774.533900918439,152
30000,440000,23379,485,69173268.4432055,6917.32684432055,3.1619813038643794,1058.5706413452863,152
130000,380000,23040,824,69119274.27196683,6911.927427196683,2.892284978659935,686.0237108671572,152
160000,360000,22990,874,69060654.84632859,6906.065484632859,2.8306853928519384,284.2347823298769,152
60000,420000,23256,608,68836901.58290699,6883.690158290699,3.0716572406475118,1371.1768772723153,152
120000,380000,23124,740,68574842.50588487,6857.484250588487,2.9151881321906385,1817.4399513010867,152
190000,340000,22851,1013,68536478.68791135,6853.647868791134,2.770901862493648,446.6932736071758,152
90000,400000,23175,689,68382148.52468175,6838.214852468175,2.982563834715278,1617.3684730327222,152
20000,440000,23414,450,68351482.97506785,6835.148297506786,3.1924059667345808,568.801034101285,152
150000,360000,23024,840,68113793.62451547,6811.379362451548,2.8438297475900014,1868.4997240332887,152
50000,420000,23303,561,67994962.10389781,6799.496210389781,3.102022660917048,3666.4759006057866,152
80000,400000,23214,650,67740892.61219308,6774.089261219307,3.0147820880340888,1321.807906985283,152
180000,340000,22843,1021,67591402.53755908,6759.140253755908,2.787190294648408,1121.0418072226457,152
10000,440000,23420,444,67385777.79347023,6738.577779347024,3.225254400496474,3664.3703956091776,152
110000,380000,23115,749,67256153.17700863,6725.615317700863,2.929174949564745,662.4273856248474,152
140000,360000,23039,825,67166842.36378992,6716.684236378991,2.859676159897849,782.1043316518189,152
40000,420000,23332,532,66992711.38322586,6699.271138322585,3.126697234972251,451.3968745560851,152
170000,340000,22928,936,66816317.83426301,6681.631783426302,2.7978274137886254,357.31514933286235,152
70000,400000,23241,623,66741446.09424047,6674.144609424047,3.0370946405002894,587.748428074643,152
200000,320000,22807,1057,66424918.30986926,6642.491830986925,2.739591708490662,304.63994788378477,152
130000,360000,23079,785,66358947.13839884,6635.894713839884,2.8809830284698394,179.92230766220018,152
100000,380000,23130,734,66249668.138034135,6624.966813803414,2.9474064575189485,560.0809946581721,152
160000,340000,23005,859,66057236.199187785,6605.723619918778,2.8122894534076006,1214.9649912398309,152
30000,420000,23381,483,66047077.03526165,6604.7077035261655,3.1561502246944033,1263.269998994423,152
60000,400000,23271,593,65865964.687776655,6586.596468777665,3.06399032656549,1640.6192655700725,152
90000,380000,23187,677,65570875.68025707,6557.087568025706,2.975859939891666,1866.6439009038731,152
120000,360000,23113,751,65508033.08995603,6550.8033089956025,2.8995970370340403,557.7571764803724,152
190000,320000,22832,1032,65503441.61186698,6550.344161186697,2.750755002423054,279.22270323173143,152
20000,420000,23410,454,65277059.67069082,6527.705967069081,3.1879401157849614,2333.989507356193,152
150000,340000,23017,847,65122742.228478394,6512.27422284784,2.8282918955588006,2990.944779108744,152
50000,400000,23299,565,64989948.98061721,6498.994898061721,3.089078272239175,2766.6582350386307,152
180000,320000,22906,958,64809711.021612205,6480.97110216122,2.7707649062158883,96.61916287068743,152
80000,380000,23213,651,64695338.11013648,6469.533811013647,3.004031456246081,769.0739412088878,152
10000,420000,23424,440,64353753.84952045,6435.375384952046,3.2227021090862458,1121.6439591231756,152
140000,340000,23037,827,64250471.98359518,6425.047198359518,2.8491929481442577,611.2923306298908,152
110000,360000,23070,794,64153864.32236087,6415.386432236088,2.9162147488222194,547.4475159395952,152
40000,400000,23345,519,63979863.02179318,6397.986302179318,3.1156081140761196,374.09243805962615,152
170000,320000,22928,936,63819964.43372864,6381.996443372865,2.781375072498373,2832.926632466726,152
70000,380000,23239,625,63758207.06970951,6375.820706970951,3.0311307173706887,209.54544708738104,152
200000,300000,22847,1017,63562010.626767315,6356.201062676731,2.718516526694215,1483.0613735172665,152
100000,360000,23138,726,63329570.63548751,6332.957063548752,2.936387694859611,2267.339350428898,152
130000,340000,23080,784,63274054.30814206,6327.405430814206,2.8620773232373633,1138.8901087661507,152
160000,320000,22994,870,63079911.57799208,6307.991157799208,2.7978470407200198,262.19943863898516,152
30000,400000,23381,483,63048852.73123664,6304.885273123664,3.1447903505996493,62.42941699363291,152
60000,380000,23291,573,62881653.30754439,6288.165330754439,3.05526155750967,73.4695296883583,152
190000,300000,22893,971,62761560.64114028,6276.156064114029,2.7357732032132858,994.5929792430252,152
90000,360000,23177,687,62449926.33973915,6244.992633973915,2.9617503974743222,2778.142166455975,152
120000,340000,23086,778,62357907.20112166,6235.790720112165,2.883038740797642,427.3922994849272,152
20000,400000,23409,455,62195325.18255359,6219.532518255359,3.1817381638944457,720.0056190858595,152
150000,320000,23001,863,62064171.384934284,6206.417138493428,2.8110282379956977,232.0050071987789,152
50000,380000,23286,578,62017107.964754485,6201.710796475449,3.082875418082711,2823.3787932987325,152
180000,300000,22918,946,61802164.31972866,6180.216431972866,2.7478656942555566,5064.470768629108,152
80000,360000,23214,650,61601814.0406613,6160.181404066129,2.9861818433655674,634.513123950921,152
110000,340000,23151,713,61554692.508547075,6155.469250854708,2.9045067574862866,447.9160983012989,152
10000,400000,23426,438,61319029.780778736,6131.902978077874,3.2179707174194965,7980.2614291762,152
140000,320000,23030,834,61207253.319783725,6120.725331978372,2.830855990010178,343.8605485711014,152
40000,380000,23347,517,61057926.244423315,6105.7926244423315,3.1086519314025582,834.8724797168979,152
170000,300000,22941,923,60955219.00426245,6095.521900426244,2.7652380155946963,593.6352698854171,152
