short_size,long_size,taken,skipped,net_pnl_rs,final_equity,roi_pct,max_concurrent,min_cash,pf_rs,short_pnl_taken_rs,long_pnl_taken_rs
60000,200000,23372,492,35998708.20237284,36998708.20237284,3599.870820237284,152,0.0,2.9106471579629085,5523606.884127464,30475101.318245914
90000,180000,23263,601,35757728.249556966,36757728.249556966,3575.7728249556967,152,324.2668569899397,2.7811092967049333,8251362.834661396,27506365.41489684
40000,210000,23453,411,35632192.74761785,36632192.74761785,3563.219274761785,152,9.734850811888464,3.0047465570620537,3667261.1667993013,31964931.58081808
70000,190000,23342,522,35425252.20333025,36425252.20333025,3542.5252203330247,152,95.10763854999095,2.8583293164879295,6409738.815798256,29015513.38753254
100000,170000,23226,638,35174256.31663244,36174256.31663244,3517.4256316632445,152,358.5764013900189,2.7384518448954407,9175856.369161721,25998399.947469786
50000,200000,23419,445,35074473.52364957,36074473.52364957,3507.447352364957,152,0.0,2.950628684618831,4596308.103377812,30478165.420273755
80000,180000,23293,571,34796417.203434676,35796417.203434676,3479.641720343468,152,377.24844433018006,2.8086250394350882,7321282.354954552,27475134.848479956
30000,210000,23488,376,34702948.81913796,35702948.81913796,3470.294881913796,152,400.3897229596041,3.0500367812241063,2739806.545688898,31963142.27344998
60000,190000,23375,489,34456215.446711294,35456215.446711294,3445.62154467113,152,764.9826883531641,2.895593205470391,5514142.647235768,28942072.799475033
90000,170000,23247,617,34247844.52039275,35247844.52039275,3424.7844520392755,152,801.5446342743235,2.7671730210914407,8259648.833704892,25988195.68668829
40000,200000,23464,400,34147405.47036855,35147405.47036855,3414.740547036855,152,0.0,2.9923567587200477,3673320.0286594816,30474085.441709686
70000,180000,23345,519,33924553.62136444,34924553.62136444,3392.455362136444,152,45.03815938625485,2.843039435669252,6419060.244645514,27505493.376720384
20000,210000,23534,330,33760216.49965676,34760216.49965676,3376.021649965676,152,3566.858483672142,3.0995221935506954,1820631.2383826016,31939585.261273734
100000,160000,23242,622,33696791.85784833,34696791.85784833,3369.6791857848334,152,1288.4344653616427,2.7209916400393617,9192623.715973873,24504168.141874235
50000,190000,23428,436,33561572.63370255,34561572.63370255,3356.1572633702544,152,1123.0338389473036,2.936670464296777,4591361.389164014,28970211.244539484
80000,170000,23292,572,33281453.24361159,34281453.24361159,3328.1453243611586,152,457.7557124767918,2.7922673694392683,7323848.502317758,25957604.741292905
30000,200000,23513,351,33229269.235190444,34229269.23519044,3322.9269235190445,152,0.0,3.0413075167139576,2743380.062970452,30485889.17222206
10000,210000,23548,316,32913224.361328855,33913224.361328855,3291.3224361328857,152,30.578442214988172,3.1657328715566013,910932.8500771334,32002291.51125304
60000,180000,23361,503,32898779.0357602,33898779.0357602,3289.87790357602,152,69.79541174997576,2.877629760526071,5498494.470489405,27400284.56527119
90000,160000,23268,596,32744857.687425204,33744857.6874252,3274.48576874252,152,1087.3126356441062,2.748501293042643,8246441.840113916,24498415.847312346
40000,190000,23477,387,32603894.709761545,33603894.709761545,3260.389470976155,152,839.4235926293768,2.975802978741758,3670005.1994595616,28933889.51030154
70000,170000,23348,516,32396692.092138775,33396692.092138775,3239.669209213878,152,394.73308739159256,2.827016830319505,6417707.094757259,25978984.99738204
20000,200000,23539,325,32302009.739201557,33302009.739201557,3230.200973920156,152,0.0,3.092029018130545,1821688.6562013717,30480321.083000865
100000,150000,23238,626,32165954.401117306,33165954.401117306,3216.5954401117306,152,652.1547351456247,2.701757714427532,9191899.992838373,22974054.408277906
50000,180000,23426,438,32023675.90058648,33023675.90058648,3202.3675900586477,152,1640.209450176917,2.921967219095484,4594422.416438995,27429253.484149218
80000,160000,23313,551,31840404.805623345,32840404.805623345,3184.0404805623343,152,2731.215200537001,2.7796265244657152,7339478.878274139,24500925.927349064
30000,190000,23522,342,31706751.80082694,32706751.80082694,3170.675180082694,152,624.0571921913652,3.0305659619788696,2742389.0089368764,28964362.7918912
60000,170000,23383,481,31464607.374636002,32464607.374636002,3146.4607374636003,152,2999.115345621016,2.865854913526276,5513043.003710754,25951564.370924685
10000,200000,23563,301,31410036.237196013,32410036.237196013,3141.0036237196014,152,0.0,3.1609226901525505,910955.6980122649,30499080.539186053
90000,150000,23276,588,31219983.66830259,32219983.66830259,3121.998366830259,152,724.34970369027,2.728332253450968,8275871.334376775,22944112.33392596
