s,l,pnl,roi,pf,taken,skipped,min_cash,max_conc
130000,500000,33070898.34240691,3307.0898342406913,6.384711288241297,7365,16499,0.0,9
140000,500000,33045858.13807675,3304.5858138076746,6.386184620442851,7204,16660,0.0,8
80000,440000,33036729.5563518,3303.67295563518,6.410139950329529,9504,14360,0.0,15
120000,480000,33007517.093805615,3300.751709380562,6.276079433990745,7792,16072,208.61694697663188,10
140000,300000,32977091.09309055,3297.709109309055,6.284764256363676,8253,15611,0.0,9
140000,280000,32973273.178494252,3297.3273178494255,6.158952846914918,8510,15354,51.23390995617956,8
80000,460000,32921659.440930393,3292.165944093039,6.259399548255659,9421,14443,0.0,16
180000,240000,32859152.89827027,3285.915289827027,6.313035581739689,7906,15958,24.195566039299592,6
130000,460000,32855619.431124993,3285.561943112499,6.3149196186489895,7545,16319,65.45411755377427,9
120000,500000,32849850.911095828,3284.9850911095828,6.201667096626439,7792,16072,0.0,10
20000,480000,32840424.896582887,3284.042489658289,6.691382684618657,14319,9545,0.0,54
190000,280000,32815281.725334473,3281.528172533447,6.322894671697733,7228,16636,74.39835528982803,6
110000,380000,32751587.884390466,3275.158788439047,6.236142103720981,8614,15250,24.766913161962293,11
190000,240000,32742717.300963193,3274.2717300963195,6.279566781695216,7772,16092,0.0,6
160000,260000,32714304.899952788,3271.4304899952785,6.218857970454814,8135,15729,0.0,7
200000,240000,32698278.477436997,3269.8278477437,6.259182889564779,7554,16310,0.0,6
70000,440000,32666266.229625646,3266.626622962565,6.396069820564488,10067,13797,0.0,18
190000,260000,32632596.125912055,3263.259612591205,6.22618137451875,7479,16385,143.5507686440833,6
180000,260000,32607520.081366174,3260.7520081366174,6.2396396281360715,7671,16193,306.85614731698297,6
40000,480000,32603992.840688,3260.3992840688,6.479117332461825,12158,11706,0.0,29
80000,420000,32577345.590306148,3257.7345590306145,6.201936059981048,9627,14237,0.0,15
130000,280000,32571633.355870955,3257.163335587096,6.17203459447285,8657,15207,125.08189937286079,9
200000,260000,32566961.304470357,3256.6961304470356,6.183794852168777,7330,16534,0.0,6
