"trade_id","signal_id","signal_datetime","signal_entry_datetime_ist","entry_time","exit_time","ticker","side","setup","impulse_type","quantity","entry_price","exit_price","stop_price","target_price","outcome","pnl_rs","pnl_pct","quality_score","p_win","confidence_multiplier"
"PT-b43ac7f0-121531","b43ac7f0db06f575","2026-03-02 11:45:00+05:30","2026-03-02 11:45:00+05:30","2026-03-02 12:15:31+0530","2026-03-02 13:14:43+0530","APOLLO","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1168","216.66","214.06","218.29","214.06","TARGET","3036.8","1.2","0.96","0.0","1.0"
"PT-62d78161-110323","62d78161ce184964","2026-03-02 11:00:00+05:30","2026-03-02 11:00:00+05:30","2026-03-02 11:03:23+0530","2026-03-02 13:41:41+0530","GHCL","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","534","469.32","463.69","472.84","463.69","TARGET","3006.42","1.1996","0.8824","0.0","1.0"
"PT-13094cae-123027","13094caeff85259b","2026-03-02 11:45:00+05:30","2026-03-02 11:45:00+05:30","2026-03-02 12:30:27+0530","2026-03-02 14:07:10+0530","M&M","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","75","3291.35","3316.04","3316.04","3251.85","SL","-1851.75","-0.7501","0.7669","0.0","1.0"
"PT-0b177613-131623","0b1776136592bd8b","2026-03-02 11:45:00+05:30","2026-03-02 11:45:00+05:30","2026-03-02 13:16:23+0530","2026-03-02 14:08:02+0530","JIOFIN","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1011","244.88","246.71","246.71","241.94","SL","-1850.13","-0.7473","0.8135","0.0","1.0"
"PT-6ea0d0d5-111710","6ea0d0d5874ef988","2026-03-02 11:15:00+05:30","2026-03-02 11:15:00+05:30","2026-03-02 11:17:10+0530","2026-03-02 14:41:03+0530","BHARATRAS","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","171","1452.87","1463.76","1463.76","1435.44","SL","-1862.19","-0.7496","0.4318","0.0","1.0"
"PT-d145318f-123027","d145318fa721536c","2026-03-02 11:45:00+05:30","2026-03-02 11:45:00+05:30","2026-03-02 12:30:27+0530","2026-03-02 14:47:45+0530","AWL","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1386","179.38","180.72","180.72","177.23","SL","-1857.24","-0.747","0.7465","0.0","1.0"
"PT-6b5c949b-124601","6b5c949b61de7915","2026-03-02 11:45:00+05:30","2026-03-02 11:45:00+05:30","2026-03-02 12:46:01+0530","2026-03-02 14:49:36+0530","JBMA","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","473","523.34","527.26","527.26","517.06","SL","-1854.16","-0.749","0.6041","0.0","1.0"
"PT-f3386e73-113049","f3386e73cdcdaf52","2026-03-02 11:30:00+05:30","2026-03-02 11:30:00+05:30","2026-03-02 11:30:49+0530","2026-03-02 14:49:38+0530","JAGRAN","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","4005","62.38","62.85","62.85","61.63","SL","-1882.35","-0.7534","0.3979","0.0","1.0"
"PT-9a26af33-134549","9a26af3385a65860","2026-03-02 11:45:00+05:30","2026-03-02 11:45:00+05:30","2026-03-02 13:45:49+0530","2026-03-02 14:57:40+0530","KECL","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","2929","84.65","85.28","85.28","83.64","SL","-1845.27","-0.7442","0.5787","0.0","1.0"
"PT-8c548a2e-150148","8c548a2e23578d40","2026-03-02 12:00:00+05:30","2026-03-02 12:00:00+05:30","2026-03-02 15:01:48+0530","2026-03-02 15:06:30+0530","CONFIPET","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","8347","30.2","30.42","30.42","29.84","SL","-1836.34","-0.7285","0.5984","0.0","1.0"
"PT-403461a4-150148","403461a4d3f5a170","2026-03-02 11:45:00+05:30","2026-03-02 11:45:00+05:30","2026-03-02 15:01:48+0530","2026-03-02 15:20:01+0530","SUNTECK","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","637","389.56","390.85","392.48","384.88","EOD_CLOSE","-821.73","-0.3311","0.5862","0.0","1.0"
"PT-76fcb622-111640","76fcb622c40ccbc6","2026-03-02 11:15:00+05:30","2026-03-02 11:15:00+05:30","2026-03-02 11:16:40+0530","2026-03-02 15:20:01+0530","VPRPL","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","5955","41.97","42.0","42.28","41.47","EOD_CLOSE","-178.65","-0.0715","0.7276","0.0","1.0"
"PT-51a9e8fc-150148","51a9e8fce69992c6","2026-03-02 12:00:00+05:30","2026-03-02 12:00:00+05:30","2026-03-02 15:01:48+0530","2026-03-02 15:20:01+0530","IRCON","SHORT","A_PULLBACK_C2_THEN_BREAK_C2_LOW","MODERATE","1828","136.33","135.82","137.36","134.69","EOD_CLOSE","932.28","0.3741","0.8159","0.0","1.0"
"PT-7f26aa00-113049","7f26aa0092764a79","2026-03-02 11:30:00+05:30","2026-03-02 11:30:00+05:30","2026-03-02 11:30:49+0530","2026-03-02 15:20:03+0530","IRMENERGY","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1096","227.83","227.0","229.54","225.09","EOD_CLOSE","909.68","0.3643","0.3791","0.0","1.0"
"PT-fc6d2474-150148","fc6d2474d99ecf43","2026-03-02 12:00:00+05:30","2026-03-02 12:00:00+05:30","2026-03-02 15:01:48+0530","2026-03-02 15:20:03+0530","GNFC","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","564","440.83","440.9","444.14","435.54","EOD_CLOSE","-39.48","-0.0159","0.56","0.0","1.0"
"PT-788f010c-150148","788f010cedfc8719","2026-03-02 12:00:00+05:30","2026-03-02 12:00:00+05:30","2026-03-02 15:01:48+0530","2026-03-02 15:20:03+0530","DPABHUSHAN","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","216","1149.23","1149.5","1157.85","1135.44","EOD_CLOSE","-58.32","-0.0235","0.559","0.0","1.0"
"PT-51ae09e7-150148","51ae09e767123137","2026-03-02 12:00:00+05:30","2026-03-02 12:00:00+05:30","2026-03-02 15:01:48+0530","2026-03-02 15:20:04+0530","IREDA","SHORT","A_PULLBACK_C2_THEN_BREAK_C2_LOW","MODERATE","2154","115.81","115.94","116.68","114.42","EOD_CLOSE","-280.02","-0.1123","0.7436","0.0","1.0"
"PT-cf1031c7-150148","cf1031c7bb413c5a","2026-03-02 11:45:00+05:30","2026-03-02 11:45:00+05:30","2026-03-02 15:01:48+0530","2026-03-02 15:20:04+0530","PAYTM","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","235","1056.57","1063.7","1064.5","1043.89","EOD_CLOSE","-1675.55","-0.6748","0.7399","0.0","1.0"
"PT-389f8b07-114551","389f8b073d3d94ee","2026-03-02 11:30:00+05:30","2026-03-02 11:30:00+05:30","2026-03-02 11:45:51+0530","2026-03-02 15:20:04+0530","CONCOR","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","522","480.16","479.4","483.76","474.4","EOD_CLOSE","396.72","0.1583","0.6675","0.0","1.0"
