"trade_id","signal_id","signal_datetime","signal_entry_datetime_ist","entry_time","exit_time","ticker","side","setup","impulse_type","quantity","entry_price","exit_price","stop_price","target_price","outcome","pnl_rs","pnl_pct","quality_score","p_win","confidence_multiplier"
"PT-bb8b633b-103158","bb8b633be2ef4994","2026-03-16 10:30:00+05:30","2026-03-16 10:30:00+05:30","2026-03-16 10:31:58+0530","2026-03-16 10:56:26+0530","PREMEXPLN","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","580","430.53","426.65","433.46","426.65","TARGET","2250.4","0.9012","0.8211","0.0","1.0"
"PT-7ec3bd0e-103303","7ec3bd0e179cf053","2026-03-16 10:30:00+05:30","2026-03-16 10:30:00+05:30","2026-03-16 10:33:03+0530","2026-03-16 10:58:32+0530","DBREALTY","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","2624","95.24","95.89","95.89","94.38","SL","-1705.6","-0.6825","0.7549","0.0","1.0"
"PT-10061c86-104729","10061c862a788c1e","2026-03-16 10:45:00+05:30","2026-03-16 10:45:00+05:30","2026-03-16 10:47:29+0530","2026-03-16 10:59:37+0530","ZUARI","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1278","195.49","196.82","196.82","193.73","SL","-1699.74","-0.6803","0.7646","0.0","1.0"
"PT-70683c5b-104634","70683c5b6c45fe65","2026-03-16 10:45:00+05:30","2026-03-16 10:45:00+05:30","2026-03-16 10:46:34+0530","2026-03-16 10:59:42+0530","LGBBROSLTD","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","146","1709.24","1720.86","1720.86","1693.86","SL","-1696.52","-0.6798","0.96","0.0","1.0"
"PT-ea5072da-103129","ea5072daecdc107a","2026-03-16 10:30:00+05:30","2026-03-16 10:30:00+05:30","2026-03-16 10:31:29+0530","2026-03-16 10:59:42+0530","KCP","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1810","138.01","138.95","138.95","136.77","SL","-1701.4","-0.6811","0.6214","0.0","1.0"
"PT-6aa990ab-104723","6aa990ab8b8bd6fe","2026-03-16 10:45:00+05:30","2026-03-16 10:45:00+05:30","2026-03-16 10:47:23+0530","2026-03-16 11:00:01+0530","VAIBHAVGBL","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1213","205.88","207.28","207.28","204.03","SL","-1698.2","-0.68","0.3562","0.0","1.0"
"PT-2f1ddc5d-103235","2f1ddc5d46d07230","2026-03-16 10:30:00+05:30","2026-03-16 10:30:00+05:30","2026-03-16 10:32:35+0530","2026-03-16 11:06:52+0530","WONDERLA","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","495","504.0","507.43","507.43","499.46","SL","-1697.85","-0.6806","0.5254","0.0","1.0"
"PT-e5ffe6bd-104743","e5ffe6bd02de16e5","2026-03-16 10:45:00+05:30","2026-03-16 10:45:00+05:30","2026-03-16 10:47:43+0530","2026-03-16 11:08:16+0530","BALMLAWRIE","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1568","159.32","160.4","160.4","157.89","SL","-1693.44","-0.6779","0.8743","0.0","1.0"
"PT-0f7eab82-103155","0f7eab825e2b9e94","2026-03-16 10:30:00+05:30","2026-03-16 10:30:00+05:30","2026-03-16 10:31:55+0530","2026-03-16 11:10:09+0530","PNGJL","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","469","531.73","535.35","535.35","526.94","SL","-1697.78","-0.6808","0.5591","0.0","1.0"
"PT-8a112c47-104709","8a112c47ae8ffbf8","2026-03-16 10:45:00+05:30","2026-03-16 10:45:00+05:30","2026-03-16 10:47:09+0530","2026-03-16 11:16:01+0530","SENCO","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","877","285.11","287.05","287.05","282.55","SL","-1701.38","-0.6804","0.6114","0.0","1.0"
