"trade_id","signal_id","signal_datetime","signal_entry_datetime_ist","entry_time","exit_time","ticker","side","setup","impulse_type","quantity","entry_price","filled_price","exit_price","stop_price","target_price","outcome","pnl_rs","pnl_pct","entry_order_id","target_order_id","sl_order_id","close_order_id","quality_score"
"LT-789f37cd-130108","789f37cd7f629e06","2026-03-13 13:00:00+05:30","2026-03-13 13:00:00+05:30","2026-03-13 13:01:08+0530","2026-03-13 13:05:39+0530","KIRLOSIND","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","2662.6","2661.5","2684.5","2681.5","2640.2","SL","-23.0","-0.8642","260313171095085","260313171095093","260313171095096","","0.4881"
"LT-aece49c9-130127","aece49c9398cd915","2026-03-13 13:00:00+05:30","2026-03-13 13:00:00+05:30","2026-03-13 13:01:27+0530","2026-03-13 13:15:37+0530","PAISALO","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","31.25","31.24","30.99","31.47","30.99","TARGET","0.25","0.8003","260313171096053","260313171096066","260313171096070","","0.6921"
"LT-6a220ad9-130137-SKIP","6a220ad9d9fd152d","2026-03-13 13:00:00+05:30","2026-03-13 13:00:00+05:30","2026-03-13 13:01:37+0530","2026-03-13 13:01:37+0530","REMSONSIND","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","101.29","0.0","101.29","102.05","100.48","ENTRY_SKIPPED_RISK_LIMIT","0.0","0.0","","","","","0.8918"
"LT-37ac6fac-130148-SKIP","37ac6fac5d9a9753","2026-03-13 13:00:00+05:30","2026-03-13 13:00:00+05:30","2026-03-13 13:01:48+0530","2026-03-13 13:01:48+0530","SONACOMS","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","492.6","0.0","492.6","496.29","488.66","ENTRY_SKIPPED_RISK_LIMIT","0.0","0.0","","","","","0.7164"
"LT-2b853a06-130248-SKIP","2b853a06eade1b16","2026-03-13 13:00:00+05:30","2026-03-13 13:00:00+05:30","2026-03-13 13:02:48+0530","2026-03-13 13:02:48+0530","DEEPAKFERT","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","945.95","0.0","945.95","953.04","938.38","ENTRY_SKIPPED_RISK_LIMIT","0.0","0.0","","","","","0.7214"
"LT-51c07333-130253-SKIP","51c07333be310104","2026-03-13 13:00:00+05:30","2026-03-13 13:00:00+05:30","2026-03-13 13:02:53+0530","2026-03-13 13:02:53+0530","ELGIEQUIP","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","467.85","0.0","467.85","471.36","464.11","ENTRY_SKIPPED_RISK_LIMIT","0.0","0.0","","","","","0.96"
"LT-6e1a412f-131700","6e1a412f94f6c066","2026-03-13 13:15:00+05:30","2026-03-13 13:15:00+05:30","2026-03-13 13:17:00+0530","2026-03-13 15:13:03+0530","MANGLMCEM","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","796.4","795.3","788.95","801.25","788.95","TARGET","6.35","0.7984","260313171150944","260313171150979","260313171150981","","0.6095"
"LT-efeac882-131757","efeac8820ae79c6a","2026-03-13 13:15:00+05:30","2026-03-13 13:15:00+05:30","2026-03-13 13:17:57+0530","2026-03-13 14:10:47+0530","TIINDIA","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","2445.0","2445.0","2462.6","2463.3","2425.4","SL","-17.6","-0.7198","260313171154709","260313171154722","260313171154727","","0.6434"
"LT-c3353891-131804-SKIP","c33538911c773b84","2026-03-13 13:15:00+05:30","2026-03-13 13:15:00+05:30","2026-03-13 13:18:04+0530","2026-03-13 13:18:04+0530","VESUVIUS","SHORT","A_PULLBACK_C2_THEN_BREAK_C2_LOW","MODERATE","1","478.45","0.0","478.45","482.04","474.62","ENTRY_SKIPPED_RISK_LIMIT","0.0","0.0","","","","","0.7068"
"LT-aa118f7a-131828-SKIP","aa118f7a7d1bfd76","2026-03-13 13:15:00+05:30","2026-03-13 13:15:00+05:30","2026-03-13 13:18:28+0530","2026-03-13 13:18:28+0530","BOROLTD","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","227.81","0.0","227.81","229.52","225.99","ENTRY_SKIPPED_RISK_LIMIT","0.0","0.0","","","","","0.6795"
"LT-23baebda-131838-SKIP","23baebda59d887fe","2026-03-13 13:15:00+05:30","2026-03-13 13:15:00+05:30","2026-03-13 13:18:38+0530","2026-03-13 13:18:38+0530","DBREALTY","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","99.9","0.0","99.9","100.65","99.1","ENTRY_SKIPPED_RISK_LIMIT","0.0","0.0","","","","","0.6666"
"LT-559c28ab-131841-SKIP","559c28ab7c08c13c","2026-03-13 13:15:00+05:30","2026-03-13 13:15:00+05:30","2026-03-13 13:18:41+0530","2026-03-13 13:18:41+0530","DODLA","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","972.2","0.0","972.2","979.49","964.42","ENTRY_SKIPPED_RISK_LIMIT","0.0","0.0","","","","","0.6826"
"LT-4f0171ce-131841-SKIP","4f0171ce12a6c5db","2026-03-13 13:15:00+05:30","2026-03-13 13:15:00+05:30","2026-03-13 13:18:41+0530","2026-03-13 13:18:41+0530","DREDGECORP","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","897.85","0.0","897.85","904.58","890.67","ENTRY_SKIPPED_RISK_LIMIT","0.0","0.0","","","","","0.93"
"LT-1f348327-133219","1f348327cfed6377","2026-03-13 13:30:00+05:30","2026-03-13 13:30:00+05:30","2026-03-13 13:32:19+0530","2026-03-13 13:43:56+0530","REPCOHOME","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","354.25","354.0","351.15","356.65","351.15","TARGET","2.85","0.8051","260313171212404","260313171212421","260313171212429","","0.7377"
"LT-ec1b96ad-140313","ec1b96adff21b7d6","2026-03-13 14:00:00+05:30","2026-03-13 14:00:00+05:30","2026-03-13 14:03:13+0530","2026-03-13 14:13:37+0530","ASAL","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","410.5","410.0","413.35","413.1","406.7","SL","-3.35","-0.8171","260313171328078","260313171328096","260313171328099","","0.6991"
